code	CGN tag	aantal (beetje onbegrijpelijk, staat voor aantal verschillende woord+lemma+pos combinaties)	voorbeeldwoordjes	weergave van uitleg in handleiding	opmerking
493	TW(rang,prenom,bijz)	10	tweeden  eerste  1e  Eerste	tw rang, bijvoeglijk overige buiging	
500	BW(e-alg,e-zonder)	1945	tenminste  overend  nog  eerst  plm.	bw gewoon basisvorm	
503	BW(e-alg,e-met-e)	7	enenmale  dikke  hele	bw gewoon overige buiging	
504	BW(e-alg,comp,e-zonder)	11	dichter  dichterbij  vaker	bw gewoon comparatief onverbogen	
507	BW(e-alg,sup,e-zonder)	2	dichtst  vaakst	bw gewoon superlatief onverbogen	
509	BW(e-alg,sup,e-met-e)	1	zeerste	bw gewoon superlatief overige buiging	
510	BW(e-aanw,e-zonder)	247	soms  bovendien  zowiezo  ditmaal  zo	bw aanwijzend en onbepaald basisvorm	
513	BW(e-aanw,e-versm)	1	zo'n	bw aanwijzend en onbepaald overige buiging	?
516	BW(aanw,comp,zonder) [VB klopt niet]	1	er	bw aanwijzend en onbepaald comparatief overige buiging	
519	BW(e-aanw,e-sup,e-met-e-ofzo) [VW klopt niet]	1	Hier	bw aanwijzend en onbepaald superlatief overige buiging	
520	BW(e-vrag,e-zonder)	46	hoe  waarom  wanneer  waarzo	bw basisvorm	
523	BW(e-vrag,e-met-e)	1	hoeverre	bw overige buiging	
530	BW(e-betr,e-zonder)	27	dat  waar  Waarom	bw betrekkelijk basisvorm	
540	BW(e-adv-pron,e-aanw,e-zonder)	239	ertoe  hierboven  hieromtrent  Hierop  Daaroverheen	bw voornaamwoordelijk basisvorm	Of vnw?
550	BW(e-adv-pron,e-vrag,e-zonder)	37	waarover  waarna  Waaraan  waar  Waarmee	bw vragend voornaamwoordelijk basisvorm	
560	BW(e-adv-pron,e-betr,e-zonder)	59	waarmee  Hiertoe  waarbij  Waarmede  waarlangs	bw betrekkelijk voornaamwoordelijk basisvorm	
566	?? absurd voorbeeld	1	waarbij	bw betrekkelijk voornaamwoordelijk comparatief overige buiging	
580	BW(e-interj)	17	vooruit  nu  niet  Toe  wel	bw interjectivisch basisvorm	
587	BW(e-interj,sup) [ONZIN]	1	hoor	bw interjectivisch superlatief onverbogen	
590	??	2	terecht  terwille	bw basisvorm	
600	VZ(init)	432	Naast  over  Per  uit	vz nevenschikkend basisvorm	
603	VZ(versm)	9	ter  Ten  ten	vz nevenschikkend overige buiging	
610	VZ(fin,e-deel-bw)	29	aan  voor  van  op  uit	vz onderschikkeld basisvorm	
620	VZ(fin,e-deel-ww)	16	voor  voort  af  over  uit	vz vergelijkend basisvorm	
630	VZ(fin,e-deel-vz)	146	door  in  af  toe  uit	vz al (met afwijkende volgorde in bijzin) basisvorm	zoals naar .. toe
640	VZ(fin)	32	in  af  terug  heen  op	vz deel nevenschikkende voegwoordgroep basisvorm	
650	VZ(init,e-preverb)	24	voor  Te  Door  teneinde  Alvorens	vz basisvorm	
660	VZ(init,e-preconj)	10	zonder  voor  van  vijfenzestig  tegen	vz basisvorm	zonder dat je het begrijpt
700	VG(neven)	98	als  hetzij  Voor	vg basisvorm	
710	VG(onder)	139	omdat  Naar  Mits  naar  totdat	vg basisvorm	
