TITEL	GENRE	GENRE	GENRE	SUBGENRE	SUBGENRE	SUBGENRE	SUBGENRE	AUTEUR	OPMERKING
rijmkroniek_van_holland	Non-fiction	Verse	secular	 	history	 	 	Melis Stoke	 
rijmkroniek_van_woeringen	Non-fiction	Verse	secular	 	history	 	 	Jan van Heelu	 
rijmspreuken	Non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	unknown	 
rinclus	Non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	Gielijs van Molhem + Heinrec	 
roelantslied_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roelantslied_fragm_br	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roelantslied_fragm_dh	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roelantslied_fragm_ri	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roelantslied_fragm_ro	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_der_lorreinen_fragm_gi	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_antiochie_fragm_g	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_antiochie_fragm_l	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_antiochie_fragm_w	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_caesar_fragm_br	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_cassamus__kort_1350	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_cassamus__lang_1350	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_cassamus__lang_1360	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
roman_van_cassant	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
